Round, Client Index, Execution Time (s)
110, 5, 45.9815
111, 0, 71.5581
111, 1, 24.5599
111, 2, 44.1599
111, 3, 14.4576
111, 4, 34.6601
111, 5, 60.9537
112, 0, 57.7306
112, 1, 11.5363
112, 2, 26.9443
112, 3, 37.4615
112, 4, 67.8061
112, 5, 48.7895
113, 0, 52.0469
113, 1, 12.3722
113, 2, 41.1718
113, 3, 31.4206
113, 4, 22.8023
113, 5, 62.1920
114, 0, 58.0251
114, 1, 10.1617
114, 2, 71.3479
114, 3, 31.2738
114, 4, 20.2852
114, 5, 47.7672
115, 0, 45.9295
115, 1, 21.3463
115, 2, 62.6362
115, 3, 72.2013
115, 4, 35.7353
115, 5, 11.1286
116, 0, 9.4667
116, 1, 52.6131
116, 2, 19.0057
116, 3, 42.3367
116, 4, 29.0878
116, 5, 61.0162
117, 0, 59.6082
117, 1, 50.1845
117, 2, 33.5492
117, 3, 8.7954
117, 4, 23.3598
117, 5, 72.9689
118, 0, 10.7937
118, 1, 51.4259
118, 2, 27.2440
118, 3, 69.4584
118, 4, 61.1313
118, 5, 38.2163
119, 0, 38.3458
119, 1, 61.6136
119, 2, 11.1216
119, 3, 51.4431
119, 4, 20.6334
119, 5, 28.9400
120, 0, 39.6272
120, 1, 70.2942
120, 2, 50.4927
120, 3, 60.7712
120, 4, 16.8312
120, 5, 26.3300
121, 0, 52.0014
121, 1, 15.2236
121, 2, 25.3878
121, 3, 62.1337
121, 4, 35.4519
121, 5, 71.7445
122, 0, 40.7376
122, 1, 50.1329
122, 2, 29.8224
122, 3, 63.3450
122, 4, 10.2006
122, 5, 20.2708
123, 0, 47.3541
123, 1, 9.8177
123, 2, 20.7530
123, 3, 37.2331
123, 4, 55.6441
123, 5, 66.0476
124, 0, 34.5767
124, 1, 25.0443
124, 2, 58.0392
124, 3, 47.8056
124, 4, 16.7254
124, 5, 68.1448
125, 0, 19.5063
125, 1, 40.0066
125, 2, 63.4947
125, 3, 30.4655
125, 4, 50.2279
125, 5, 10.1176
126, 0, 67.3861
126, 1, 25.4691
126, 2, 57.2676
126, 3, 11.1493
126, 4, 35.6955
126, 5, 44.0375
127, 0, 43.9158
127, 1, 8.3534
127, 2, 32.8955
127, 3, 22.6540
127, 4, 73.6283
127, 5, 57.1341
128, 0, 64.5631
128, 1, 39.2954
128, 2, 26.0324
128, 3, 9.5689
128, 4, 53.6441
128, 5, 72.9557
129, 0, 72.4946
129, 1, 23.3518
129, 2, 37.6773
129, 3, 13.2678
129, 4, 55.9491
129, 5, 47.6917
130, 0, 71.3216
130, 1, 61.1080
130, 2, 14.0749
130, 3, 23.5641
130, 4, 44.5885
130, 5, 34.4974
131, 0, 32.8392
131, 1, 56.3852
131, 2, 66.5458
131, 3, 43.0475
131, 4, 18.4135
131, 5, 10.1531
132, 0, 17.8753
132, 1, 9.5223
132, 2, 28.0898
132, 3, 44.8209
132, 4, 58.1388
132, 5, 68.3445
133, 0, 34.4329
133, 1, 23.6484
133, 2, 13.5704
133, 3, 48.8500
133, 4, 67.3954
133, 5, 59.0710
134, 0, 65.2239
134, 1, 29.7625
134, 2, 39.7960
134, 3, 50.8447
134, 4, 10.7921
134, 5, 20.3459
135, 0, 46.0928
135, 1, 13.6531
135, 2, 62.6612
135, 3, 73.6133
135, 4, 23.2152
135, 5, 31.5913
136, 0, 18.5062
136, 1, 48.3371
136, 2, 28.6300
136, 3, 58.3996
136, 4, 10.1543
136, 5, 38.8418
137, 0, 70.1444
137, 1, 37.1903
137, 2, 50.5843
137, 3, 60.0613
137, 4, 10.3628
137, 5, 26.8543
138, 0, 32.9559
138, 1, 55.7144
138, 2, 42.4248
138, 3, 9.8961
138, 4, 66.0144
138, 5, 18.2993
139, 0, 11.0453
139, 1, 34.3074
139, 2, 67.8823
139, 3, 58.1318
139, 4, 43.7267
139, 5, 21.1829
140, 0, 35.0927
140, 1, 65.5898
140, 2, 16.5171
140, 3, 24.9245
140, 4, 56.1005
140, 5, 45.2053
141, 0, 25.1235
141, 1, 15.6021
141, 2, 35.1377
141, 3, 44.5962
141, 4, 55.4446
141, 5, 65.7967
142, 0, 16.8550
142, 1, 71.0257
142, 2, 47.1767
142, 3, 27.7222
142, 4, 37.1066
142, 5, 56.6845
143, 0, 51.0386
143, 1, 21.6929
143, 2, 41.2760
143, 3, 8.5346
143, 4, 31.0615
143, 5, 61.1521
144, 0, 50.2636
144, 1, 40.8568
144, 2, 30.7791
144, 3, 21.2258
144, 4, 11.0445
144, 5, 60.3739
145, 0, 21.6809
145, 1, 10.8134
145, 2, 36.0803
145, 3, 68.6024
145, 4, 55.2545
145, 5, 45.6830
146, 0, 16.7146
146, 1, 69.7183
146, 2, 36.4648
146, 3, 59.5608
146, 4, 26.1370
146, 5, 44.9757
147, 0, 19.8527
147, 1, 44.6059
147, 2, 68.2511
147, 3, 54.7899
147, 4, 28.1158
147, 5, 9.7640
148, 0, 46.2659
148, 1, 29.4418
148, 2, 69.5652
148, 3, 56.3698
148, 4, 18.4200
148, 5, 8.8997
149, 0, 67.4805
149, 1, 41.5924
149, 2, 10.1466
149, 3, 31.4841
149, 4, 23.2284
149, 5, 58.0834
150, 0, 28.0782
150, 1, 10.3721
150, 2, 38.8828
150, 3, 62.1409
150, 4, 52.0160
150, 5, 19.8450
151, 0, 61.5998
151, 1, 74.7741
151, 2, 51.4578
151, 3, 9.5036
151, 4, 40.5173
151, 5, 23.9724
152, 0, 19.4450
152, 1, 42.9237
152, 2, 67.4229
152, 3, 8.4280
152, 4, 29.5984
152, 5, 53.0731
153, 0, 21.5548
153, 1, 67.1587
153, 2, 10.5114
153, 3, 34.7492
153, 4, 44.3750
153, 5, 52.6995
154, 0, 13.2914
154, 1, 67.3041
154, 2, 37.7875
154, 3, 57.7009
154, 4, 27.6734
154, 5, 47.4456
155, 0, 9.6010
155, 1, 39.4451
155, 2, 68.3026
155, 3, 47.8354
155, 4, 26.1208
155, 5, 58.1622
156, 0, 24.8720
156, 1, 52.7876
156, 2, 43.2656
156, 3, 62.2170
156, 4, 34.9335
156, 5, 14.6422
157, 0, 45.8144
157, 1, 65.2926
157, 2, 34.8873
157, 3, 16.9944
157, 4, 55.2180
157, 5, 26.5500
158, 0, 59.5089
158, 1, 13.3882
158, 2, 49.2952
158, 3, 24.2907
158, 4, 40.9545
158, 5, 68.9440
159, 0, 27.5921
159, 1, 71.8746
159, 2, 37.1825
159, 3, 11.0638
159, 4, 62.1353
159, 5, 51.8715
160, 0, 34.2827
160, 1, 24.6504
160, 2, 67.1983
160, 3, 14.5232
160, 4, 53.9143
160, 5, 44.4622
161, 0, 54.1377
161, 1, 20.1324
161, 2, 30.1116
161, 3, 63.7155
161, 4, 10.1219
161, 5, 43.1961
162, 0, 25.1948
162, 1, 57.9979
162, 2, 16.8702
162, 3, 34.6961
162, 4, 44.7511
162, 5, 68.9822
163, 0, 47.6064
163, 1, 24.9531
163, 2, 55.8560
163, 3, 34.4495
163, 4, 10.6485
163, 5, 66.7628
164, 0, 14.9708
164, 1, 34.6670
164, 2, 67.7136
164, 3, 57.4922
164, 4, 24.4884
164, 5, 44.2032
165, 0, 53.6455
165, 1, 21.4618
165, 2, 39.3100
165, 3, 11.2390
165, 4, 66.9740
165, 5, 30.9192
166, 0, 20.0092
166, 1, 61.6852
166, 2, 29.7611
166, 3, 50.6196
166, 4, 40.2257
166, 5, 10.5391
167, 0, 41.0432
167, 1, 31.3205
167, 2, 54.7043
167, 3, 21.0077
167, 4, 71.3746
167, 5, 11.2664
168, 0, 41.3714
168, 1, 72.0432
168, 2, 11.2686
168, 3, 55.0495
168, 4, 31.0164
168, 5, 20.7413
169, 0, 27.6815
169, 1, 37.2331
169, 2, 75.9765
169, 3, 51.6215
169, 4, 10.8857
169, 5, 64.8614
170, 0, 10.1817
170, 1, 50.1443
170, 2, 40.5627
170, 3, 20.2701
170, 4, 30.4799
170, 5, 63.4571
171, 0, 26.5194
171, 1, 74.9248
171, 2, 10.0090
171, 3, 41.0624
171, 4, 51.3765
171, 5, 61.5439
172, 0, 18.7711
172, 1, 52.5854
172, 2, 63.7905
172, 3, 10.3291
172, 4, 37.9598
172, 5, 28.5408
173, 0, 59.5784
173, 1, 69.2014
173, 2, 39.1211
173, 3, 14.0449
173, 4, 28.6108
173, 5, 48.6388
174, 0, 30.4390
174, 1, 59.4110
174, 2, 40.7282
