Round,ClientIndex,ExecutionTime(s)
110,4,52.678958
111,0,51.812919
111,1,65.287879
111,2,46.228282
111,3,62.297417
111,4,56.592815
112,0,32.530456
112,1,44.656016
112,2,48.256920
112,3,37.198805
112,4,40.540120
113,0,43.759743
113,1,28.783340
113,2,83.044369
113,3,78.042105
113,4,77.381850
114,0,57.948322
114,1,37.871542
114,2,89.767045
114,3,86.467802
114,4,90.044106
115,0,67.134797
115,1,43.838880
115,2,39.495251
115,3,62.428257
115,4,36.609580
116,0,40.188318
116,1,31.200461
116,2,41.588832
116,3,38.042042
116,4,28.350995
117,0,63.673418
117,1,34.402664
117,2,66.137469
117,3,34.821209
117,4,51.029805
118,0,36.797292
118,1,46.983552
118,2,46.857410
118,3,53.316394
118,4,43.928026
119,0,40.860985
119,1,66.945635
119,2,50.832414
119,3,34.882066
119,4,60.170673
120,0,53.822017
120,1,56.938697
120,2,26.386251
120,3,33.660306
120,4,44.247286
121,0,47.536287
121,1,29.763654
121,2,55.138528
121,3,40.825941
121,4,28.078932
122,0,28.167288
122,1,25.945094
122,2,39.246507
122,3,46.651979
122,4,41.194433
123,0,32.156393
123,1,50.433704
123,2,37.115317
123,3,42.953136
123,4,23.745053
124,0,34.739190
124,1,33.110270
124,2,49.485167
124,3,39.783708
124,4,38.681850
125,0,44.577229
125,1,33.503258
125,2,26.238485
125,3,38.285829
125,4,40.352588
126,0,57.172628
126,1,24.892380
126,2,56.118055
126,3,37.383544
126,4,34.826176
127,0,45.610584
127,1,37.608058
127,2,33.573204
127,3,53.388415
127,4,26.250567
128,0,63.113762
128,1,52.529786
128,2,48.282496
128,3,55.016270
128,4,53.957164
129,0,38.296931
129,1,64.817592
129,2,51.417814
129,3,40.275487
129,4,33.804362
130,0,34.107706
130,1,37.871694
130,2,62.448591
130,3,55.838516
130,4,51.086372
131,0,70.452117
131,1,99.245357
131,2,73.595057
131,3,100.033997
131,4,86.050428
132,0,34.150517
132,1,62.695392
132,2,32.160835
132,3,47.070478
132,4,52.670548
133,0,71.079432
133,1,52.251941
133,2,68.604089
133,3,66.289348
133,4,56.126040
134,0,37.134263
134,1,50.683058
134,2,63.628625
134,3,65.906886
134,4,70.370929
135,0,47.144324
135,1,77.050912
135,2,59.001778
135,3,78.877158
135,4,60.636137
136,0,38.746668
136,1,74.059968
136,2,45.294191
136,3,74.878361
136,4,42.323303
137,0,63.510165
137,1,45.708580
137,2,31.521343
137,3,50.468692
137,4,46.887937
138,0,76.264209
138,1,33.934736
138,2,74.894402
138,3,61.794275
138,4,47.135870
139,0,34.736429
139,1,48.721738
139,2,51.208020
139,3,37.610350
139,4,39.835114
140,0,43.541708
140,1,45.983662
140,2,40.886437
140,3,59.466639
140,4,66.733714
141,0,63.505278
141,1,43.637976
141,2,48.311623
141,3,52.732710
141,4,55.143021
142,0,82.364360
142,1,63.386105
142,2,77.539943
142,3,84.288501
142,4,39.490410
143,0,45.908859
143,1,48.259426
143,2,62.770260
143,3,48.313040
143,4,58.918113
144,0,60.439137
144,1,60.580940
144,2,44.119382
144,3,63.119561
144,4,49.951080
145,0,59.244683
145,1,36.713698
145,2,31.550200
145,3,71.533139
145,4,58.600688
146,0,63.382496
146,1,74.707266
146,2,85.326167
146,3,48.926731
146,4,66.124246
147,0,49.067590
147,1,85.469196
147,2,66.588081
147,3,73.423667
147,4,88.242900
148,0,63.243481
148,1,50.142155
148,2,50.536763
148,3,45.152537
148,4,62.235115
149,0,32.879657
149,1,66.552687
149,2,62.445487
149,3,60.166925
149,4,45.202510
150,0,37.804833
150,1,62.981269
150,2,54.235695
150,3,68.469918
150,4,52.678789
151,0,73.451516
151,1,74.486645
151,2,66.727358
151,3,41.162544
151,4,51.768021
152,0,46.039154
152,1,37.898954
152,2,79.329406
152,3,69.853240
152,4,54.969863
153,0,46.467891
153,1,31.666240
153,2,48.964993
153,3,38.411009
153,4,47.662752
154,0,82.862661
154,1,78.966174
154,2,38.086010
154,3,69.000450
154,4,77.358365
155,0,51.267384
155,1,86.079725
155,2,88.846246
155,3,37.964988
155,4,79.131213
156,0,62.689046
156,1,51.273149
156,2,42.785731
156,3,56.287817
156,4,73.757908
157,0,46.638143
157,1,52.114411
157,2,73.376945
157,3,40.261039
157,4,64.269471
158,0,39.884599
158,1,65.322925
158,2,67.142023
158,3,50.658315
158,4,62.617069
159,0,39.590933
159,1,46.285429
159,2,73.730893
159,3,46.116152
159,4,62.107913
160,0,30.464334
160,1,76.287015
160,2,71.994798
160,3,56.379508
160,4,86.335255
161,0,69.789834
161,1,70.205780
161,2,46.591813
161,3,42.127861
161,4,52.783292
162,0,32.286125
162,1,36.366146
162,2,53.824858
162,3,56.324912
162,4,52.229641
163,0,77.557385
163,1,37.652628
163,2,86.518311
163,3,84.192442
163,4,41.874775
164,0,50.720853
164,1,29.926900
164,2,44.905989
164,3,59.953981
164,4,44.331370
165,0,30.529397
165,1,62.538298
165,2,41.272596
165,3,52.819522
165,4,64.757530
166,0,71.787400
