Round, Client Index, Execution Time (s)
72, 4, 18.1517
73, 0, 33.7529
73, 1, 43.6020
73, 2, 14.2944
73, 3, 24.0730
73, 4, 6.7460
74, 0, 39.3824
74, 1, 16.8729
74, 2, 32.8748
74, 3, 9.9711
74, 4, 24.4000
75, 0, 9.9061
75, 1, 26.6129
75, 2, 33.1427
75, 3, 19.6889
75, 4, 43.0094
76, 0, 24.4905
76, 1, 40.3626
76, 2, 34.1884
76, 3, 16.9339
76, 4, 10.4103
77, 0, 13.3645
77, 1, 7.2317
77, 2, 23.0177
77, 3, 35.2266
77, 4, 31.4828
78, 0, 36.2321
78, 1, 46.0694
78, 2, 18.6784
78, 3, 8.9480
78, 4, 28.2974
79, 0, 14.6436
79, 1, 40.8592
79, 2, 33.9546
79, 3, 24.3437
79, 4, 6.7587
80, 0, 9.8964
80, 1, 13.6354
80, 2, 23.4726
80, 3, 33.2393
80, 4, 40.7724
81, 0, 13.5836
81, 1, 9.8631
81, 2, 26.2436
81, 3, 20.0884
81, 4, 33.1395
82, 0, 11.0500
82, 1, 4.5697
82, 2, 27.6158
82, 3, 20.7111
82, 4, 33.7911
83, 0, 38.2581
83, 1, 34.5193
83, 2, 17.2870
83, 3, 26.9904
83, 4, 7.6632
84, 0, 17.4057
84, 1, 23.9157
84, 2, 30.0736
84, 3, 37.9929
84, 4, 7.5702
85, 0, 40.5607
85, 1, 22.7479
85, 2, 10.5013
85, 3, 19.0002
85, 4, 32.6223
86, 0, 22.3824
86, 1, 32.0645
86, 2, 41.8487
86, 3, 7.7356
86, 4, 13.9049
87, 0, 33.9745
87, 1, 16.5105
87, 2, 22.6881
87, 3, 26.4269
87, 4, 8.5882
88, 0, 8.5243
88, 1, 31.5624
88, 2, 24.6888
88, 3, 39.4962
88, 4, 14.9939
89, 0, 6.2849
89, 1, 28.6123
89, 2, 37.0743
89, 3, 21.7299
89, 4, 13.8102
90, 0, 35.4508
90, 1, 17.6950
90, 2, 27.5258
90, 3, 41.6071
90, 4, 10.8271
91, 0, 7.6083
91, 1, 32.5094
91, 2, 17.8618
91, 3, 11.3475
91, 4, 26.3375
92, 0, 32.5786
92, 1, 10.0870
92, 2, 40.1175
92, 3, 24.6539
92, 4, 18.5032
93, 0, 19.2468
93, 1, 9.3719
93, 2, 15.5228
93, 3, 28.9924
93, 4, 35.8896
94, 0, 8.9565
94, 1, 24.9570
94, 2, 15.1242
94, 3, 31.8562
94, 4, 39.7746
95, 0, 21.1368
95, 1, 4.4850
95, 2, 11.3808
95, 3, 35.2117
95, 4, 27.2978
96, 0, 34.5209
96, 1, 7.6068
96, 2, 17.3912
96, 3, 28.0191
96, 4, 24.2913
97, 0, 36.2380
97, 1, 18.0418
97, 2, 39.9604
97, 3, 26.4469
97, 4, 8.3296
98, 0, 25.3003
98, 1, 34.9271
98, 2, 44.6838
98, 3, 15.5007
98, 4, 8.6264
99, 0, 25.9135
99, 1, 9.9896
99, 2, 19.7586
99, 3, 42.3065
99, 4, 34.3814
100, 0, 30.2661
100, 1, 7.9899
100, 2, 23.7711
100, 3, 14.1265
100, 4, 37.7778
101, 0, 8.0801
101, 1, 11.8139
101, 2, 36.4245
101, 3, 26.6434
101, 4, 19.7384
102, 0, 25.3372
102, 1, 10.0032
102, 2, 16.8819
102, 3, 32.8546
102, 4, 40.7707
103, 0, 28.4067
103, 1, 18.6933
103, 2, 43.2430
103, 3, 10.2591
103, 4, 36.3399
104, 0, 9.8899
104, 1, 23.8621
104, 2, 30.7132
104, 3, 40.4743
104, 4, 17.3948
105, 0, 14.4749
105, 1, 37.7174
105, 2, 24.3071
105, 3, 8.3099
105, 4, 31.2036
106, 0, 31.8193
106, 1, 6.7334
106, 2, 13.6168
106, 3, 41.6332
106, 4, 22.0696
107, 0, 18.1660
107, 1, 14.4359
107, 2, 7.9319
107, 3, 25.0602
107, 4, 34.8317
108, 0, 23.8747
108, 1, 38.8568
108, 2, 15.9747
108, 3, 9.8576
108, 4, 30.3831
109, 0, 13.8680
109, 1, 29.7452
109, 2, 19.9924
109, 3, 37.2714
109, 4, 4.2387
110, 0, 24.0705
110, 1, 6.5044
110, 2, 34.2953
110, 3, 27.8019
110, 4, 14.4187
111, 0, 40.6683
111, 1, 32.7359
111, 2, 13.1338
111, 3, 9.4010
111, 4, 22.8981
112, 0, 18.1620
112, 1, 37.5948
112, 2, 27.9314
112, 3, 14.4308
112, 4, 6.9280
